event_ticker,tdate,suffix,title,sub_title,bulk_close,bulk_n,max_close,min_close,sched_occ,n_markets
KXFIGHTMENTION-26JUN20MESMUL,2026-06-20,MESMUL,What will the announcers say during Beatriz Mesquita vs Melissa Mullins Fight,Beatriz Mesquita vs Melissa Mullins Fight,2026-06-21 19:45:40+00:00,12,2026-06-21 22:09:53+00:00,2026-06-21 19:45:40+00:00,2026-07-04T23:05:00+00:00,14
KXFIGHTMENTION-26JUL11MCGHOL,2026-07-11,MCGHOL,What will the announcers say during Conor McGregor vs Max Holloway Fight,Conor McGregor vs Max Holloway Fight,2026-07-12 16:15:50+00:00,10,2026-07-12 16:15:50+00:00,2026-07-12 04:15:42+00:00,2026-07-26T02:00:00+00:00,17
KXFIGHTMENTION-26JUL11SAIPIM,2026-07-11,SAIPIM,What will the announcers say during Benoit Saint-Denis vs Paddy Pimblett Fight,Benoit Saint-Denis vs Paddy Pimblett Fight,2026-07-12 16:14:34+00:00,8,2026-07-12 16:14:34+00:00,2026-07-12 04:01:57+00:00,2026-07-26T01:40:00+00:00,14
KXFIGHTMENTION-26JUL11SANBAU,2026-07-11,SANBAU,What will the announcers say during Cory Sandhagen vs Mario Bautista Fight,Cory Sandhagen vs Mario Bautista Fight,2026-07-12 03:20:51+00:00,8,2026-07-12 16:14:15+00:00,2026-07-12 03:20:51+00:00,2026-07-26T01:20:00+00:00,14
KXFIGHTMENTION-26JUL11ROYKAV,2026-07-11,ROYKAV,What will the announcers say during Brandon Royval vs Loneer Kavanagh Fight,Brandon Royval vs Loneer Kavanagh Fight,2026-07-12 02:40:53+00:00,11,2026-07-12 16:13:25+00:00,2026-07-12 02:40:53+00:00,2026-07-26T01:00:00+00:00,14
KXFIGHTMENTION-26JUL11GREMCK,2026-07-11,GREMCK,What will the announcers say during Bobby Green vs Terrance McKinney Fight,Bobby Green vs Terrance McKinney Fight,2026-07-12 02:05:46+00:00,9,2026-07-12 16:33:36+00:00,2026-07-12 02:05:46+00:00,2026-07-26T00:40:00+00:00,14
KXFIGHTMENTION-26JUL11KRYWHI,2026-07-11,KRYWHI,What will the announcers say during Nikita Krylov vs Robert Whittaker Fight,Nikita Krylov vs Robert Whittaker Fight,2026-07-12 01:20:46+00:00,11,2026-07-12 16:13:08+00:00,2026-07-12 01:20:46+00:00,2026-07-26T00:00:00+00:00,14
KXFIGHTMENTION-26JUL11STEELL,2026-07-11,STEELL,What will the announcers say during Gable Steveson vs Elisha Ellison Fight,Gable Steveson vs Elisha Ellison Fight,2026-07-12 00:45:41+00:00,9,2026-07-12 16:12:48+00:00,2026-07-12 00:45:41+00:00,2026-07-25T23:40:00+00:00,14
KXFIGHTMENTION-26JUL11GARYAN,2026-07-11,GARYAN,What will the announcers say during Cody Garbrandt vs Adrian Yanez Fight,Cody Garbrandt vs Adrian Yanez Fight,2026-07-12 00:30:47+00:00,7,2026-07-12 16:12:18+00:00,2026-07-12 00:30:47+00:00,2026-07-25T23:20:00+00:00,14
KXFIGHTMENTION-26JUL11RILKAM,2026-07-11,RILKAM,What will the announcers say during Luke Riley vs Kai Kamaka III Fight,Luke Riley vs Kai Kamaka III Fight,2026-07-12 00:10:50+00:00,7,2026-07-12 16:11:31+00:00,2026-07-12 00:10:50+00:00,2026-07-25T23:00:00+00:00,14
KXFIGHTMENTION-26JUL18HOLSMI,2026-07-18,HOLSMI,What will the announcers say during Kevin Holland vs Jacobe Smith Fight,Kevin Holland vs Jacobe Smith Fight,2026-07-13 14:01:09+00:00,14,2026-07-13 14:04:09+00:00,2026-07-13 14:01:09+00:00,2026-08-02T00:40:00+00:00,14
