event_ticker,match_name,kickoff_utc,stage,status_detail,went_et,went_pens,est_end_utc,match_confidence,notes
KXWCMENTION-26JUN22JORDZA,Jordan vs Algeria,2026-06-23T03:00Z,group,FT,0,0,2026-06-23T05:00:22+00:00,med,"end from ESPN wallclock (End Regular Time); matched by team names (Kalshi ISO code vs ESPN FIFA code, e.g. DZA/ALG, HTI/HAI)"
KXWCMENTION-26JUN22NORSEN,Norway vs Senegal,2026-06-23T00:00Z,group,FT,0,0,2026-06-23T01:59:37+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN22FRAIRQ,France vs Iraq,2026-06-22T21:00Z,group,FT,0,0,2026-06-23T00:49:32+00:00,high,"end from ESPN wallclock (End Regular Time); long match ~230min (in-game delays), wallclock end verified"
KXWCMENTION-26JUN22ARGAUT,Argentina vs Austria,2026-06-22T17:00Z,group,FT,0,0,2026-06-22T19:02:10+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN23COLCOD,Colombia vs Congo DR,2026-06-24T02:00Z,group,FT,0,0,2026-06-24T03:58:16+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN23PANCRO,Panama vs Croatia,2026-06-23T23:00Z,group,FT,0,0,2026-06-24T00:54:21+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN23ENGGHA,England vs Ghana,2026-06-23T20:00Z,group,FT,0,0,2026-06-23T22:00:15+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN23PORUZB,Portugal vs Uzbekistan,2026-06-23T17:00Z,group,FT,0,0,2026-06-23T18:59:32+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN24RSAKOR,South Africa vs Korea Republic,2026-06-25T01:00Z,group,FT,0,0,2026-06-25T02:57:04+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN24CZEMEX,Czechia vs Mexico,2026-06-25T01:00Z,group,FT,0,0,2026-06-25T02:57:22+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN24SCOBRA,Scotland vs Brazil,2026-06-24T22:00Z,group,FT,0,0,2026-06-25T00:01:46+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN24MARHTI,Morocco vs Haiti,2026-06-24T22:00Z,group,FT,0,0,2026-06-25T00:02:52+00:00,med,"end from ESPN wallclock (End Regular Time); matched by team names (Kalshi ISO code vs ESPN FIFA code, e.g. DZA/ALG, HTI/HAI)"
KXWCMENTION-26JUN24SUICAN,Switzerland vs Canada,2026-06-24T19:00Z,group,FT,0,0,2026-06-24T20:55:52+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2026-06-24T19:00Z,group,FT,0,0,2026-06-24T20:58:44+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN25TURUSA,Turkiye vs USA,2026-06-26T02:00Z,group,FT,0,0,2026-06-26T04:03:05+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN25PARAUS,Paraguay vs Australia,2026-06-26T02:00Z,group,FT,0,0,2026-06-26T03:58:27+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN25TUNNED,Tunisia vs Netherlands,2026-06-25T23:00Z,group,FT,0,0,2026-06-26T00:54:36+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN25JPNSWE,Japan vs Sweden,2026-06-25T23:00Z,group,FT,0,0,2026-06-26T00:58:13+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN25ECUGER,Ecuador vs Germany,2026-06-25T20:00Z,group,FT,0,0,2026-06-25T21:58:04+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN25CUWCIV,Curacao vs Ivory Coast,2026-06-25T20:00Z,group,FT,0,0,2026-06-25T21:58:01+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN26NZLBEL,New Zealand vs Belgium,2026-06-27T03:00Z,group,FT,0,0,2026-06-27T04:57:48+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN26EGYIRI,Egypt vs IR Iran,2026-06-27T03:00Z,group,FT,0,0,2026-06-27T05:03:20+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN26URUESP,Uruguay vs Spain,2026-06-27T00:00Z,group,FT,0,0,2026-06-27T02:01:12+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN26CPVKSA,Cape Verde vs Saudi Arabia,2026-06-27T00:00Z,group,FT,0,0,2026-06-27T01:59:44+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN26SENIRQ,Senegal vs Iraq,2026-06-26T19:00Z,group,FT,0,0,2026-06-26T21:04:19+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN26NORFRA,Norway vs France,2026-06-26T19:00Z,group,FT,0,0,2026-06-26T20:59:28+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN27JORARG,Jordan vs Argentina,2026-06-28T02:00Z,group,FT,0,0,2026-06-28T03:57:36+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN27DZAAUT,Algeria vs Austria,2026-06-28T02:00Z,group,FT,0,0,2026-06-28T03:59:29+00:00,med,"end from ESPN wallclock (End Regular Time); matched by team names (Kalshi ISO code vs ESPN FIFA code, e.g. DZA/ALG, HTI/HAI)"
